caso_id,sim_con_rumor,es_bot_knn,seguidores_alto,ya_desmintio,horario_noche,cuenta_nueva,accion
46,0,0,1,1,0,1,contrarresta
47,0,1,0,1,1,0,contrarresta
48,1,1,1,0,1,0,amplifica_en_masa
49,0,0,0,1,1,1,contrarresta
50,1,0,1,0,0,0,amplifica_influencer
51,1,0,1,0,1,1,amplifica_influencer
52,1,1,0,0,1,0,amplifica_en_masa
53,1,1,0,0,1,0,amplifica_en_masa
54,1,0,1,1,1,0,contrarresta
55,0,1,0,0,1,1,ignora
56,0,1,1,1,0,1,contrarresta
57,1,1,1,0,1,0,amplifica_en_masa
58,0,1,0,0,1,0,ignora
59,0,1,1,0,1,0,ignora
60,1,1,1,0,1,0,amplifica_en_masa
61,1,1,0,0,1,0,amplifica_en_masa
62,1,1,1,1,0,1,contrarresta
63,0,0,0,1,0,1,contrarresta
64,1,1,1,1,0,0,contrarresta
65,1,1,1,0,1,1,amplifica_en_masa
66,0,1,1,1,1,0,contrarresta
67,1,1,1,1,1,0,contrarresta
68,1,1,1,1,1,0,contrarresta
69,1,1,1,1,1,1,contrarresta
70,0,1,1,1,0,0,contrarresta
71,1,0,1,1,1,0,contrarresta
72,1,1,1,0,1,1,amplifica_en_masa
73,1,1,0,0,0,1,amplifica_en_masa
74,0,1,0,0,1,0,ignora
75,0,0,0,1,1,0,contrarresta
76,1,1,1,0,1,1,amplifica_en_masa
77,0,1,1,1,1,0,contrarresta
78,1,1,0,0,1,0,amplifica_en_masa
79,0,1,0,0,0,1,ignora
80,1,1,0,0,0,1,amplifica_en_masa
81,1,0,0,1,1,0,contrarresta
82,0,0,0,1,1,0,contrarresta
83,0,0,1,1,0,0,contrarresta
84,0,1,1,1,0,1,contrarresta
85,1,0,1,1,0,1,contrarresta
86,0,0,0,1,1,0,contrarresta
87,0,1,0,1,1,1,contrarresta
88,1,1,0,1,0,0,contrarresta
89,0,1,1,0,0,0,ignora
90,1,0,1,1,0,1,contrarresta
91,0,1,1,1,0,0,contrarresta
92,1,1,1,1,0,1,contrarresta
93,0,1,1,1,0,1,contrarresta
94,1,0,1,0,0,0,amplifica_influencer
95,0,1,1,1,1,0,contrarresta
96,1,1,0,0,1,1,amplifica_en_masa
97,0,1,0,1,1,0,contrarresta
98,0,0,0,1,1,1,contrarresta
99,0,1,1,0,1,1,ignora
100,1,1,0,1,1,0,contrarresta
101,0,0,0,1,1,0,contrarresta
102,0,1,0,1,1,1,contrarresta
103,1,0,0,1,0,0,contrarresta
104,1,1,1,1,0,0,contrarresta
105,0,0,0,1,1,0,contrarresta
106,0,0,0,0,1,0,ignora
107,1,0,0,1,1,1,contrarresta
108,1,1,0,0,1,0,amplifica_en_masa
109,1,0,1,1,1,0,contrarresta
110,1,1,0,1,0,0,contrarresta
111,1,0,1,1,1,0,contrarresta
112,0,1,0,1,0,0,contrarresta
113,1,0,0,1,0,0,contrarresta
114,1,1,0,1,1,1,contrarresta
115,0,0,1,0,0,0,ignora
116,1,1,0,1,1,0,contrarresta
117,0,1,1,1,1,1,contrarresta
118,0,1,1,1,1,1,contrarresta
119,0,0,1,1,0,1,contrarresta
120,1,1,1,0,1,1,amplifica_en_masa
121,0,1,0,1,1,1,contrarresta
122,1,0,0,1,1,1,contrarresta
123,0,0,1,0,1,0,ignora
124,1,1,0,0,0,0,amplifica_en_masa
125,1,1,0,1,0,1,contrarresta
126,0,1,0,1,1,0,contrarresta
127,1,0,0,0,0,1,amplifica_leve
128,1,1,1,1,1,1,contrarresta
129,1,0,1,0,0,1,amplifica_influencer
130,1,0,1,1,1,0,contrarresta
131,1,1,1,0,1,0,amplifica_en_masa
132,1,1,1,1,0,1,contrarresta
133,0,1,1,1,1,0,contrarresta
134,0,1,1,1,0,0,contrarresta
135,0,1,0,0,0,0,ignora
136,1,1,1,1,0,1,contrarresta
137,0,1,1,0,1,1,ignora
138,0,0,1,0,1,0,ignora
139,0,0,1,0,0,0,ignora
140,0,1,0,1,1,0,contrarresta
141,1,1,0,1,0,0,contrarresta
142,1,1,0,1,1,0,contrarresta
143,0,1,1,0,1,1,ignora
144,1,1,1,0,0,1,amplifica_en_masa
145,1,1,0,1,0,1,contrarresta
146,0,1,1,0,1,1,ignora
147,0,0,0,1,0,1,contrarresta
148,1,1,1,0,1,1,amplifica_en_masa
149,0,1,0,1,0,0,contrarresta
150,0,1,1,0,0,1,ignora
151,1,1,0,1,0,0,contrarresta
152,1,1,1,1,0,0,contrarresta
153,0,1,0,0,0,0,ignora
154,0,1,1,1,0,1,contrarresta
155,1,1,0,0,0,1,amplifica_en_masa
156,1,1,1,1,0,0,contrarresta
157,0,0,0,0,0,1,ignora
158,1,1,0,1,0,1,contrarresta
159,1,0,0,1,0,0,contrarresta
160,1,1,0,0,0,1,amplifica_en_masa
