id,usuario,comentario,categoria,sentimiento,puede_votar,cuenta_verificada,dias_cuenta,voto
59,@user_0059,quiero votar y la plataforma me bloquea #voto,queja,negativo,0,0,1,sin_permiso
60,@user_0060,apoyo que solo voten cuentas verificadas...,a_favor_restriccion,positivo,1,1,559,a_favor_de_restringir
61,@user_0061,moderación bloquea votos de cuentas recién creadas #voto,explica_regla,neutro,1,1,980,a_favor_de_restringir
62,@user_0062,apoyo que solo voten cuentas verificadas...,a_favor_restriccion,positivo,1,1,771,a_favor_de_restringir
63,@user_0063,hay que tener correo institucional para votar...,explica_regla,neutro,1,0,662,abstencion
64,@user_0064,intenté votar tres veces y me rechaza,queja,negativo,0,0,16,sin_permiso
65,@user_0065,solo cuentas verificadas pueden votar.,explica_regla,neutro,1,1,1112,abrir_voto_a_todos
66,@user_0066,quiero votar y la plataforma me bloquea #voto,queja,negativo,0,0,13,sin_permiso
67,@user_0067,si eres sospechoso de bot no te dejan votar #voto,explica_regla,neutro,0,0,17,sin_permiso
68,@user_0068,la regla de no todos pueden votar discrimina!,en_contra_restriccion,negativo,1,1,1192,abrir_voto_a_todos
69,@user_0069,no es justo que no todos puedan votar!,queja,negativo,0,0,14,sin_permiso
70,@user_0070,dónde veo si mi cuenta puede votar,neutro_pregunta,neutro,0,0,19,sin_permiso
71,@user_0071,si no todos pueden votar para qué preguntan pls,en_contra_restriccion,negativo,0,0,13,sin_permiso
72,@user_0072,esto silencia a los de nuevo ingreso #encuesta,en_contra_restriccion,negativo,0,0,13,sin_permiso
73,@user_0073,solo cuentas verificadas pueden votar??,explica_regla,neutro,0,0,18,sin_permiso
74,@user_0074,soy alumno y aun asi no puedo emitir voto!,queja,negativo,0,0,11,sin_permiso
75,@user_0075,sin filtro de voto gana quien tenga más bots,a_favor_restriccion,positivo,1,1,850,abstencion
76,@user_0076,llevo poco tiempo registrado y no me deja votar #encuesta,queja,negativo,0,0,19,sin_permiso
77,@user_0077,el reglamento dice: no todos pueden votar pls,explica_regla,neutro,1,1,1062,abstencion
78,@user_0078,aparece el mensaje: no tienes permiso para votar #voto,queja,negativo,0,0,11,sin_permiso
79,@user_0079,quiero votar y la plataforma me bloquea #encuesta,queja,negativo,0,0,14,sin_permiso
80,@user_0080,solo alumnos activos del semestre pueden votar #encuesta,explica_regla,neutro,1,1,930,abstencion
81,@user_0081,si no todos pueden votar la encuesta no es válida pls,queja,negativo,0,0,1,sin_permiso
82,@user_0082,mejor pocos votos reales que mil votos falsos #voto,a_favor_restriccion,positivo,0,0,12,sin_permiso
83,@user_0083,por qué no todos pueden votar en esta encuesta #voto,queja,negativo,0,0,11,sin_permiso
84,@user_0084,quitar la restricción ya!,en_contra_restriccion,negativo,1,1,655,abrir_voto_a_todos
85,@user_0085,staff y alumnos verificados sí pueden votar!,explica_regla,neutro,1,1,512,abstencion
86,@user_0086,hay que tener correo institucional para votar...,explica_regla,neutro,0,0,1,sin_permiso
87,@user_0087,sin verificación de identidad no hay voto!,explica_regla,neutro,0,0,23,sin_permiso
88,@user_0088,la restricción de voto protege el resultado #voto,a_favor_restriccion,positivo,1,1,870,a_favor_de_restringir
89,@user_0089,moderación bloquea votos de cuentas recién creadas,explica_regla,neutro,1,0,496,a_favor_de_restringir
90,@user_0090,limitar el voto es necesario en este foro #voto,a_favor_restriccion,positivo,1,1,805,a_favor_de_restringir
91,@user_0091,excluir gente del voto es antidemocrático,en_contra_restriccion,negativo,0,0,22,sin_permiso
92,@user_0092,para votar necesitas más de 30 días de antigüedad,explica_regla,neutro,0,0,1,sin_permiso
93,@user_0093,soy alumno y aun asi no puedo emitir voto #encuesta,queja,negativo,0,0,16,sin_permiso
94,@user_0094,qué requisitos hay para poder votar??,neutro_pregunta,neutro,1,1,820,a_favor_de_restringir
95,@user_0095,si no todos pueden votar la encuesta no es válida??,queja,negativo,0,0,10,sin_permiso
96,@user_0096,todos los alumnos deberían poder votar #encuesta,en_contra_restriccion,negativo,1,1,1480,abstencion
97,@user_0097,mejor pocos votos reales que mil votos falsos.,a_favor_restriccion,positivo,1,1,811,a_favor_de_restringir
98,@user_0098,cuántos días de cuenta necesito para votar!,neutro_pregunta,neutro,0,0,1,sin_permiso
99,@user_0099,si no todos pueden votar para qué preguntan??,en_contra_restriccion,negativo,0,0,15,sin_permiso
100,@user_0100,solo alumnos activos del semestre pueden votar pls,explica_regla,neutro,1,1,1185,abstencion
101,@user_0101,sin filtro de voto gana quien tenga más bots.,a_favor_restriccion,positivo,1,1,1378,a_favor_de_restringir
102,@user_0102,está bien que no todos puedan votar así evitan bots #encuesta,a_favor_restriccion,positivo,0,0,1,sin_permiso
103,@user_0103,la restricción de voto protege el resultado pls,a_favor_restriccion,positivo,1,1,550,a_favor_de_restringir
104,@user_0104,esto silencia a los de nuevo ingreso...,en_contra_restriccion,negativo,1,1,1157,abstencion
105,@user_0105,soy alumno y aun asi no puedo emitir voto??,queja,negativo,0,0,2,sin_permiso
106,@user_0106,no es justo que no todos puedan votar,queja,negativo,0,0,13,sin_permiso
107,@user_0107,la restricción de voto protege el resultado??,a_favor_restriccion,positivo,1,1,1135,a_favor_de_restringir
108,@user_0108,si dejan votar a cualquiera manipulan la encuesta??,a_favor_restriccion,positivo,0,0,1,sin_permiso
109,@user_0109,si dejan votar a cualquiera manipulan la encuesta pls,a_favor_restriccion,positivo,0,0,6,sin_permiso
110,@user_0110,alguien sabe por qué no todos pueden votar??,neutro_pregunta,neutro,0,0,14,sin_permiso
111,@user_0111,si eres sospechoso de bot no te dejan votar??,explica_regla,neutro,0,0,6,sin_permiso
112,@user_0112,moderación bloquea votos de cuentas recién creadas,explica_regla,neutro,1,0,1306,abrir_voto_a_todos
113,@user_0113,las cuentas nuevas no pueden votar por seguridad.,explica_regla,neutro,1,1,998,a_favor_de_restringir
114,@user_0114,el botón de votar está gris qué significa #encuesta,neutro_pregunta,neutro,1,1,602,abstencion
115,@user_0115,solo cuentas verificadas pueden votar.,explica_regla,neutro,1,1,636,abstencion
116,@user_0116,para votar necesitas más de 30 días de antigüedad #encuesta,explica_regla,neutro,1,1,940,abstencion
117,@user_0117,concuerdo: no todos deben poder votar aquí #voto,a_favor_restriccion,positivo,1,1,626,abstencion
118,@user_0118,está bien que no todos puedan votar así evitan bots,a_favor_restriccion,positivo,0,0,2,sin_permiso
119,@user_0119,aparece el mensaje: no tienes permiso para votar #encuesta,queja,negativo,0,0,7,sin_permiso
120,@user_0120,alguien sabe por qué no todos pueden votar,neutro_pregunta,neutro,1,1,619,abstencion
121,@user_0121,el reglamento dice: no todos pueden votar pls,explica_regla,neutro,1,1,1255,abstencion
122,@user_0122,abrir el voto a todos haría más legítima la encuesta??,en_contra_restriccion,negativo,0,0,14,sin_permiso
123,@user_0123,moderación bloquea votos de cuentas recién creadas.,explica_regla,neutro,0,0,1,sin_permiso
124,@user_0124,quién sí puede votar entonces pls,neutro_pregunta,neutro,1,1,1121,abrir_voto_a_todos
125,@user_0125,el botón de votar está gris qué significa pls,neutro_pregunta,neutro,1,1,446,abstencion
126,@user_0126,para votar necesitas más de 30 días de antigüedad...,explica_regla,neutro,0,0,5,sin_permiso
127,@user_0127,alguien sabe por qué no todos pueden votar...,neutro_pregunta,neutro,1,0,614,abstencion
128,@user_0128,solo cuentas verificadas pueden votar!,explica_regla,neutro,0,0,18,sin_permiso
129,@user_0129,abrir el voto a todos haría más legítima la encuesta!,en_contra_restriccion,negativo,1,1,807,abrir_voto_a_todos
130,@user_0130,si no todos pueden votar la encuesta no es válida #voto,queja,negativo,0,0,3,sin_permiso
131,@user_0131,las cuentas nuevas no pueden votar por seguridad #encuesta,explica_regla,neutro,1,1,1005,a_favor_de_restringir
132,@user_0132,quitar la restricción ya.,en_contra_restriccion,negativo,0,0,8,sin_permiso
133,@user_0133,soy alumno y aun asi no puedo emitir voto,queja,negativo,0,0,4,sin_permiso
134,@user_0134,quiero votar y la plataforma me bloquea,queja,negativo,0,0,1,sin_permiso
135,@user_0135,aparece el mensaje: no tienes permiso para votar,queja,negativo,0,0,4,sin_permiso
136,@user_0136,quitar la restricción ya #encuesta,en_contra_restriccion,negativo,0,0,1,sin_permiso
137,@user_0137,para votar necesitas más de 30 días de antigüedad...,explica_regla,neutro,0,0,1,sin_permiso
138,@user_0138,quién sí puede votar entonces pls,neutro_pregunta,neutro,1,0,637,a_favor_de_restringir
139,@user_0139,si no todos pueden votar la encuesta no es válida pls,queja,negativo,0,0,9,sin_permiso
140,@user_0140,apoyo que solo voten cuentas verificadas #encuesta,a_favor_restriccion,positivo,0,0,11,sin_permiso
141,@user_0141,sin verificación de identidad no hay voto pls,explica_regla,neutro,1,1,1308,abstencion
142,@user_0142,por qué no todos pueden votar en esta encuesta,queja,negativo,0,0,4,sin_permiso
143,@user_0143,solo alumnos activos del semestre pueden votar!,explica_regla,neutro,1,0,698,abstencion
144,@user_0144,las cuentas nuevas no pueden votar por seguridad,explica_regla,neutro,1,1,1384,abrir_voto_a_todos
145,@user_0145,hay que tener correo institucional para votar??,explica_regla,neutro,0,0,3,sin_permiso
146,@user_0146,si no todos pueden votar para qué preguntan!,en_contra_restriccion,negativo,0,0,12,sin_permiso
147,@user_0147,limitar el voto es necesario en este foro...,a_favor_restriccion,positivo,1,0,1192,a_favor_de_restringir
148,@user_0148,staff y alumnos verificados sí pueden votar.,explica_regla,neutro,1,1,999,abrir_voto_a_todos
149,@user_0149,para votar necesitas más de 30 días de antigüedad...,explica_regla,neutro,0,0,1,sin_permiso
150,@user_0150,quiero votar y la plataforma me bloquea #encuesta,queja,negativo,0,0,14,sin_permiso
151,@user_0151,abrir el voto a todos haría más legítima la encuesta...,en_contra_restriccion,negativo,1,1,924,abstencion
152,@user_0152,aparece el mensaje: no tienes permiso para votar,queja,negativo,0,0,4,sin_permiso
153,@user_0153,cuántos días de cuenta necesito para votar??,neutro_pregunta,neutro,0,0,1,sin_permiso
154,@user_0154,soy alumno y aun asi no puedo emitir voto??,queja,negativo,0,0,1,sin_permiso
155,@user_0155,mejor pocos votos reales que mil votos falsos...,a_favor_restriccion,positivo,1,1,651,abstencion
156,@user_0156,solo cuentas verificadas pueden votar.,explica_regla,neutro,0,0,6,sin_permiso
157,@user_0157,si eres sospechoso de bot no te dejan votar #encuesta,explica_regla,neutro,1,0,839,abstencion
158,@user_0158,quiero votar y la plataforma me bloquea...,queja,negativo,0,0,15,sin_permiso
159,@user_0159,sin verificación de identidad no hay voto,explica_regla,neutro,1,1,812,a_favor_de_restringir
160,@user_0160,soy alumno y aun asi no puedo emitir voto,queja,negativo,0,0,4,sin_permiso
161,@user_0161,soy alumno y aun asi no puedo emitir voto.,queja,negativo,0,0,1,sin_permiso
162,@user_0162,si no todos pueden votar la encuesta no es válida,queja,negativo,0,0,6,sin_permiso
163,@user_0163,no es justo que no todos puedan votar,queja,negativo,0,0,12,sin_permiso
164,@user_0164,no es justo que no todos puedan votar??,queja,negativo,0,0,21,sin_permiso
165,@user_0165,la regla de no todos pueden votar discrimina!,en_contra_restriccion,negativo,0,0,8,sin_permiso
166,@user_0166,sin verificación de identidad no hay voto #voto,explica_regla,neutro,1,1,978,abstencion
167,@user_0167,la regla de no todos pueden votar discrimina??,en_contra_restriccion,negativo,1,1,1367,abrir_voto_a_todos
168,@user_0168,solo cuentas verificadas pueden votar pls,explica_regla,neutro,0,0,10,sin_permiso
169,@user_0169,me sale error 403 al intentar votar,queja,negativo,0,0,11,sin_permiso
170,@user_0170,puedo recuperar el permiso de voto pls,neutro_pregunta,neutro,0,0,4,sin_permiso
171,@user_0171,si no todos pueden votar la encuesta no es válida #encuesta,queja,negativo,0,0,19,sin_permiso
172,@user_0172,mejor pocos votos reales que mil votos falsos #encuesta,a_favor_restriccion,positivo,1,1,231,a_favor_de_restringir
173,@user_0173,concuerdo: no todos deben poder votar aquí,a_favor_restriccion,positivo,0,0,7,sin_permiso
174,@user_0174,cuántos días de cuenta necesito para votar??,neutro_pregunta,neutro,0,0,12,sin_permiso
175,@user_0175,limitar el voto es necesario en este foro pls,a_favor_restriccion,positivo,1,1,564,a_favor_de_restringir
176,@user_0176,hay una lista de quiénes sí votan!,neutro_pregunta,neutro,1,1,1047,abstencion
177,@user_0177,la regla de no todos pueden votar discrimina...,en_contra_restriccion,negativo,1,0,538,abstencion
178,@user_0178,dónde veo si mi cuenta puede votar...,neutro_pregunta,neutro,1,1,682,abrir_voto_a_todos
179,@user_0179,dice que mi cuenta no tiene permiso para votar pls,queja,negativo,0,0,6,sin_permiso
180,@user_0180,para votar necesitas más de 30 días de antigüedad,explica_regla,neutro,1,1,816,abrir_voto_a_todos
181,@user_0181,esto silencia a los de nuevo ingreso #voto,en_contra_restriccion,negativo,0,0,10,sin_permiso
182,@user_0182,dice que mi cuenta no tiene permiso para votar #voto,queja,negativo,0,0,1,sin_permiso
183,@user_0183,excluir gente del voto es antidemocrático.,en_contra_restriccion,negativo,1,0,1,abrir_voto_a_todos
184,@user_0184,yo pago inscripción y no puedo votar absurdo pls,en_contra_restriccion,negativo,0,0,10,sin_permiso
185,@user_0185,excluir gente del voto es antidemocrático...,en_contra_restriccion,negativo,0,0,21,sin_permiso
186,@user_0186,está bien que no todos puedan votar así evitan bots??,a_favor_restriccion,positivo,0,0,1,sin_permiso
187,@user_0187,me sale error 403 al intentar votar!,queja,negativo,0,0,22,sin_permiso
188,@user_0188,para votar necesitas más de 30 días de antigüedad,explica_regla,neutro,1,1,660,abstencion
189,@user_0189,para votar necesitas más de 30 días de antigüedad...,explica_regla,neutro,0,0,20,sin_permiso
190,@user_0190,sin verificación de identidad no hay voto...,explica_regla,neutro,0,0,15,sin_permiso
191,@user_0191,todos los alumnos deberían poder votar #voto,en_contra_restriccion,negativo,0,0,8,sin_permiso
192,@user_0192,alguien sabe por qué no todos pueden votar??,neutro_pregunta,neutro,0,0,9,sin_permiso
193,@user_0193,yo pago inscripción y no puedo votar absurdo??,en_contra_restriccion,negativo,1,1,402,abrir_voto_a_todos
194,@user_0194,hay una lista de quiénes sí votan!,neutro_pregunta,neutro,0,0,1,sin_permiso
195,@user_0195,todos los alumnos deberían poder votar.,en_contra_restriccion,negativo,1,1,1455,abrir_voto_a_todos
196,@user_0196,quién sí puede votar entonces,neutro_pregunta,neutro,1,1,286,a_favor_de_restringir
197,@user_0197,la regla de no todos pueden votar discrimina,en_contra_restriccion,negativo,1,1,1175,abrir_voto_a_todos
198,@user_0198,cuántos días de cuenta necesito para votar!,neutro_pregunta,neutro,0,0,32,sin_permiso
199,@user_0199,soy alumno y aun asi no puedo emitir voto,queja,negativo,0,0,1,sin_permiso
200,@user_0200,está bien que no todos puedan votar así evitan bots #voto,a_favor_restriccion,positivo,0,0,3,sin_permiso
201,@user_0201,la regla de no todos pueden votar discrimina.,en_contra_restriccion,negativo,1,1,772,abrir_voto_a_todos
202,@user_0202,dice que mi cuenta no tiene permiso para votar!,queja,negativo,0,0,1,sin_permiso
203,@user_0203,por qué no todos pueden votar en esta encuesta #encuesta,queja,negativo,0,0,7,sin_permiso
204,@user_0204,yo pago inscripción y no puedo votar absurdo,en_contra_restriccion,negativo,0,0,13,sin_permiso
205,@user_0205,hay que tener correo institucional para votar...,explica_regla,neutro,0,0,14,sin_permiso
206,@user_0206,el reglamento dice: no todos pueden votar #encuesta,explica_regla,neutro,0,0,9,sin_permiso
207,@user_0207,para votar necesitas más de 30 días de antigüedad!,explica_regla,neutro,1,1,355,a_favor_de_restringir
208,@user_0208,sin verificación de identidad no hay voto!,explica_regla,neutro,1,1,416,a_favor_de_restringir
209,@user_0209,abrir el voto a todos haría más legítima la encuesta...,en_contra_restriccion,negativo,1,1,452,abrir_voto_a_todos
210,@user_0210,moderación bloquea votos de cuentas recién creadas #voto,explica_regla,neutro,0,0,4,sin_permiso
211,@user_0211,para votar necesitas más de 30 días de antigüedad,explica_regla,neutro,0,0,2,sin_permiso
212,@user_0212,si no todos pueden votar para qué preguntan!,en_contra_restriccion,negativo,0,0,1,sin_permiso
213,@user_0213,staff y alumnos verificados sí pueden votar...,explica_regla,neutro,0,0,6,sin_permiso
214,@user_0214,me sale error 403 al intentar votar pls,queja,negativo,0,0,1,sin_permiso
215,@user_0215,el reglamento dice: no todos pueden votar pls,explica_regla,neutro,0,0,1,sin_permiso
216,@user_0216,por qué no todos pueden votar en esta encuesta!,queja,negativo,0,0,13,sin_permiso
217,@user_0217,limitar el voto es necesario en este foro??,a_favor_restriccion,positivo,1,1,854,a_favor_de_restringir
218,@user_0218,si no todos pueden votar la encuesta no es válida.,queja,negativo,0,0,22,sin_permiso
219,@user_0219,qué requisitos hay para poder votar #voto,neutro_pregunta,neutro,1,1,993,a_favor_de_restringir
220,@user_0220,está bien que no todos puedan votar así evitan bots #voto,a_favor_restriccion,positivo,1,1,410,abstencion
221,@user_0221,todos los alumnos deberían poder votar??,en_contra_restriccion,negativo,0,0,21,sin_permiso
222,@user_0222,staff y alumnos verificados sí pueden votar.,explica_regla,neutro,0,0,4,sin_permiso
223,@user_0223,si no todos pueden votar la encuesta no es válida #encuesta,queja,negativo,0,0,12,sin_permiso
224,@user_0224,limitar el voto es necesario en este foro,a_favor_restriccion,positivo,1,1,805,abstencion
225,@user_0225,las cuentas nuevas no pueden votar por seguridad!,explica_regla,neutro,1,1,246,abrir_voto_a_todos
226,@user_0226,soy alumno y aun asi no puedo emitir voto,queja,negativo,0,0,14,sin_permiso
227,@user_0227,concuerdo: no todos deben poder votar aquí pls,a_favor_restriccion,positivo,1,1,879,a_favor_de_restringir
228,@user_0228,qué requisitos hay para poder votar pls,neutro_pregunta,neutro,0,0,17,sin_permiso
229,@user_0229,sin verificación de identidad no hay voto??,explica_regla,neutro,1,1,1291,abstencion
230,@user_0230,si no todos pueden votar la encuesta no es válida...,queja,negativo,0,0,6,sin_permiso
231,@user_0231,me sale error 403 al intentar votar??,queja,negativo,0,0,9,sin_permiso
232,@user_0232,si eres sospechoso de bot no te dejan votar.,explica_regla,neutro,0,0,3,sin_permiso
233,@user_0233,solo cuentas verificadas pueden votar!,explica_regla,neutro,1,1,428,abrir_voto_a_todos
234,@user_0234,alguien sabe por qué no todos pueden votar #encuesta,neutro_pregunta,neutro,0,0,10,sin_permiso
235,@user_0235,hay una lista de quiénes sí votan??,neutro_pregunta,neutro,1,1,26,abstencion
236,@user_0236,llevo poco tiempo registrado y no me deja votar!,queja,negativo,0,0,7,sin_permiso
237,@user_0237,para votar necesitas más de 30 días de antigüedad,explica_regla,neutro,1,1,766,abrir_voto_a_todos
238,@user_0238,si eres sospechoso de bot no te dejan votar!,explica_regla,neutro,1,1,926,a_favor_de_restringir
239,@user_0239,todos los alumnos deberían poder votar pls,en_contra_restriccion,negativo,1,1,510,abstencion
240,@user_0240,sin filtro de voto gana quien tenga más bots...,a_favor_restriccion,positivo,1,0,429,a_favor_de_restringir
241,@user_0241,abrir el voto a todos haría más legítima la encuesta,en_contra_restriccion,negativo,1,1,384,abstencion
242,@user_0242,solo alumnos activos del semestre pueden votar...,explica_regla,neutro,0,0,9,sin_permiso
243,@user_0243,solo alumnos activos del semestre pueden votar.,explica_regla,neutro,1,1,867,abstencion
244,@user_0244,qué requisitos hay para poder votar,neutro_pregunta,neutro,0,0,3,sin_permiso
245,@user_0245,intenté votar tres veces y me rechaza #encuesta,queja,negativo,0,0,14,sin_permiso
246,@user_0246,abrir el voto a todos haría más legítima la encuesta pls,en_contra_restriccion,negativo,0,0,31,sin_permiso
247,@user_0247,soy alumno y aun asi no puedo emitir voto,queja,negativo,0,0,1,sin_permiso
248,@user_0248,me sale error 403 al intentar votar pls,queja,negativo,0,0,1,sin_permiso
249,@user_0249,excluir gente del voto es antidemocrático #voto,en_contra_restriccion,negativo,1,1,1109,abrir_voto_a_todos
250,@user_0250,aparece el mensaje: no tienes permiso para votar #encuesta,queja,negativo,0,0,1,sin_permiso
251,@user_0251,solo alumnos activos del semestre pueden votar,explica_regla,neutro,1,0,692,abrir_voto_a_todos
252,@user_0252,quién sí puede votar entonces.,neutro_pregunta,neutro,0,0,19,sin_permiso
253,@user_0253,sin filtro de voto gana quien tenga más bots??,a_favor_restriccion,positivo,1,1,778,a_favor_de_restringir
254,@user_0254,limitar el voto es necesario en este foro,a_favor_restriccion,positivo,1,1,317,a_favor_de_restringir
255,@user_0255,excluir gente del voto es antidemocrático.,en_contra_restriccion,negativo,1,1,804,abrir_voto_a_todos
256,@user_0256,la regla de no todos pueden votar discrimina #encuesta,en_contra_restriccion,negativo,1,1,560,abrir_voto_a_todos
257,@user_0257,está bien que no todos puedan votar así evitan bots...,a_favor_restriccion,positivo,1,1,865,a_favor_de_restringir
258,@user_0258,me sale error 403 al intentar votar,queja,negativo,0,0,10,sin_permiso
259,@user_0259,concuerdo: no todos deben poder votar aquí,a_favor_restriccion,positivo,1,1,929,a_favor_de_restringir
260,@user_0260,puedo recuperar el permiso de voto??,neutro_pregunta,neutro,1,1,1000,abstencion
261,@user_0261,abrir el voto a todos haría más legítima la encuesta #encuesta,en_contra_restriccion,negativo,1,1,1049,abrir_voto_a_todos
262,@user_0262,mejor pocos votos reales que mil votos falsos!,a_favor_restriccion,positivo,1,0,609,a_favor_de_restringir
263,@user_0263,me sale error 403 al intentar votar #encuesta,queja,negativo,0,0,10,sin_permiso
264,@user_0264,la restricción de voto protege el resultado #encuesta,a_favor_restriccion,positivo,1,0,742,a_favor_de_restringir
265,@user_0265,está bien que no todos puedan votar así evitan bots...,a_favor_restriccion,positivo,0,0,16,sin_permiso
266,@user_0266,hay una lista de quiénes sí votan.,neutro_pregunta,neutro,0,0,6,sin_permiso
267,@user_0267,intenté votar tres veces y me rechaza!,queja,negativo,0,0,26,sin_permiso
