autor,texto,fecha,likes
@TheEifc00,"😂 es un alivio escuchar lo que piensan las fuerzas básicas de la derecha mexicana, siguen siendo igual de limitados intelectual y emocionalmente, el opus dei y su criadero de derejuniors lo siguen haciendo muy bien, felicidades fakexicans  🎉😂🤡🧠💩",2026-07-22T20:19:49Z,0
@ferolimen,"No conocía este podcast. No estoy de acuerdo con todo lo que se dice, pero hablan de temas que deben ser hablados y eso me gusta. Suscrito. :)",2026-07-22T20:18:09Z,1
@jlpazgarcia8181,Propongo que solo voten los de derecha,2026-07-22T19:49:34Z,0
@jlpazgarcia8181,Propongo que no dejen haser vídeo a cualquiera,2026-07-22T19:48:24Z,0
@jlpazgarcia8181,"Está peor ver todo ,dicen un montón de tonteras",2026-07-22T19:46:18Z,0
@elisaochoa1112,Excelente Nat Torres tiene una forma de explicar excelente ❤ saludos,2026-07-22T18:55:43Z,0
@jgsm9430,https://youtube.com/shorts/GHj1_-l77SM?si=X1aLk5TrprXqBjhM,2026-07-22T18:46:06Z,0
@ugodelvillar8664,Cuando an usado sombreros el narco,2026-07-22T17:46:49Z,0
@SonidoYerpeliz,APENAS LLEVAN 16 MIL VISTA 🤣 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2026-07-22T17:44:21Z,0
@hrisrodal,"Una aclaración: en el minuto ~47:00, los chicos hablan acerca de que en la escuela no debe de imponerse ""ninguna ideología"", pero de acuerdo a la definición más actual de las ciencias sociales, una ideología es; Una ideología es un sistema relativamente organizado de creencias, valores, interpretaciones y normas compartidas que proporciona a las personas una manera de comprender la realidad social, evaluar lo que consideran bueno o malo, y orientar sus acciones individuales y colectivas. Por lo tanto cualquier manera de ver el mundo, ya sea más individualista, comunitaria, mercantilista, pro religiosa, laica, etc, etc, es por definición una ideología. La trampa con estos y varios otros creadores de contenido de derechas es que manejan el concepto de ""ideología"" como si fuera sinónimo de ""fantasía"", y por eso ellos dicen ""nuestro pensamiento es libre, cualquier otro pensamiento que salga de la norma es ideología"". Lo he escuchado muchas veces con Agustín Laje. Pero volvemos a lo mismo, TODA postura es ideológica, y es un acto de ignorancia creer que por tener una opinión de derecha no tengas ideología, la ideología, sea cual sea, está implícita en tu pensamiento y en tu actuar. Por lo tanto lo que tratan de decir estos chicos del podcast podría traducirse así: ""No queremos que en la escuela se enseñe una ideología que desde nuestra perspectiva es inconveniente"", lo cual es relativo. Lo que realmente debemos preguntarnos más allá de clasificar opiniones como "" ideologías"" porque practiamente todos lo son, debería ser preguntarnos cuál manera de actuar como sociedad es más sostenible, sustentable, pacífica y libre a lo largo del tiempo, ahí ya se vuelve más complicado, eh?... Porque la derecha está a favor de el derecho a la propiedad privada ya cuando la hace suya, y está a favor de la libertad de comercio pero convirtiéndose en monopolios o ""mejorando la productividad"" por medios éticamente reprobables, y de la "" libertad individual"" sin importarles los perjuicios que esa libertad genera en los que no tienen voz. Así que es un podcast que da mucho que pensar... Y criticar.",2026-07-22T16:24:34Z,0
@KarenCortes-h5r,"Son puro meme, estos tres...😂 😂😂",2026-07-22T15:19:44Z,0
@ricardorg8921,No pueden entrar lo que quieren que otro pais nos gobierne.  Se contradicen mucho en el podcast,2026-07-22T13:59:30Z,0
