cuenta_id,seguidores,cuenta_dias,tweets_por_hora,pct_retweet,hora_pico,sim_max_con_rumor,diversidad_lexica,etiqueta
60,16,1,36.9,0.93,1.1,0.963,0.167,bot
61,382,699,2.1,0.24,11.9,0.285,0.613,humano
62,389,384,2.9,0.38,7.9,0.451,0.572,humano
63,409,1241,2.0,0.47,10.9,0.527,0.623,humano
64,498,1135,2.7,0.34,13.8,0.233,0.638,humano
65,820,1283,1.2,0.24,7.1,0.58,0.52,humano
66,77,876,5.2,0.02,9.6,0.301,0.514,humano
67,951,577,1.6,0.34,11.0,0.537,0.533,humano
68,315,165,6.7,0.2,15.0,0.444,0.669,humano
69,819,1663,0.9,0.02,10.0,0.183,0.74,humano
70,1128,515,0.2,0.2,19.6,0.0,0.713,humano
71,369,1316,0.8,0.21,8.0,0.255,0.816,humano
72,1128,739,1.3,0.0,12.4,0.444,0.64,humano
73,762,451,2.9,0.24,19.2,0.823,0.634,humano
74,493,874,1.8,0.14,13.8,0.241,0.723,humano
75,758,1000,2.6,0.14,10.2,0.403,0.584,humano
76,893,898,0.3,0.26,8.6,0.327,0.615,humano
77,0,936,3.3,0.23,12.3,0.375,0.533,humano
78,692,678,3.2,0.07,14.9,0.479,0.633,humano
79,624,1120,0.1,0.32,15.0,0.507,0.696,humano
80,538,796,4.3,0.31,14.8,0.147,0.715,humano
81,1267,1303,3.5,0.02,17.8,0.421,0.346,humano
82,950,303,0.4,0.15,19.1,0.376,0.683,humano
83,1499,1537,2.8,0.21,9.0,0.311,0.701,humano
84,958,944,5.0,0.13,13.8,0.596,0.72,humano
85,1228,1058,2.4,0.3,10.0,0.122,0.72,humano
86,777,1023,0.1,0.2,11.6,0.277,0.379,humano
87,666,1258,3.8,0.16,13.9,0.601,0.319,humano
88,750,1117,4.4,0.51,18.5,0.513,0.686,humano
89,1114,684,2.9,0.39,21.8,0.418,0.644,humano
90,879,1437,2.9,0.47,10.1,0.413,0.626,humano
91,1114,1318,0.1,0.11,15.3,0.318,0.467,humano
92,1215,1097,4.0,0.18,18.1,0.402,0.782,humano
93,435,558,3.4,0.14,16.7,0.502,0.539,humano
94,829,759,4.8,0.16,12.2,0.692,0.919,humano
95,1599,925,3.4,0.48,13.5,0.255,0.664,humano
96,980,568,0.1,0.03,16.7,0.298,0.633,humano
97,885,1147,2.3,0.32,10.4,0.378,0.527,humano
98,1252,889,1.5,0.2,13.1,0.59,0.459,humano
99,385,748,8.1,0.39,13.6,0.592,0.897,humano
100,706,753,5.4,0.32,16.7,0.348,0.881,humano
101,1483,1126,4.4,0.0,16.6,0.411,0.702,humano
102,1072,763,0.1,0.31,11.0,0.384,0.577,humano
103,663,30,5.4,0.29,18.4,0.846,0.653,humano
104,79,542,0.6,0.17,14.3,0.05,0.691,humano
105,195,1018,2.8,0.2,13.7,0.342,0.577,humano
106,126,888,6.7,0.55,19.3,0.591,0.569,humano
107,1377,877,2.9,0.21,14.4,0.363,0.64,humano
108,366,750,7.6,0.24,13.0,0.556,0.735,humano
109,354,817,4.8,0.29,14.5,0.761,0.569,humano
110,833,691,6.0,0.0,11.3,0.344,0.73,humano
111,1042,1458,0.1,0.36,12.8,0.317,0.715,humano
112,431,69,2.3,0.03,11.4,0.524,0.687,humano
113,1434,820,0.1,0.14,10.3,0.206,0.702,humano
114,541,109,4.4,0.23,15.4,0.471,0.726,humano
115,815,1394,3.8,0.31,15.6,0.159,0.63,humano
116,696,983,0.3,0.5,14.4,0.208,0.445,humano
117,687,864,1.6,0.26,11.4,0.56,0.563,humano
118,784,1291,8.1,0.1,12.1,0.282,0.744,humano
119,340,706,2.9,0.1,10.2,0.355,0.398,humano
120,221,734,3.3,0.22,6.9,0.357,0.746,humano
